wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/okeren/.netrc.
wandb: Currently logged in as: uri-koren (uri-koren-technion-israel-institute-of-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/okeren/RobustRL/wandb/run-20260618_004749-0czqqjc7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Walker2d-v5__baseline__3__1781758066
wandb: ⭐️ View project at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL
wandb: 🚀 View run at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL/runs/0czqqjc7
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=11200, return=6.257956343719571
global_step=11328, return=4.361111568419117
global_step=11392, return=-1.124817688366238
global_step=11392, return=8.29822830205085
global_step=11392, return=-4.840426433370978
global_step=11456, return=14.569130557151407
global_step=11520, return=12.494549980504985
global_step=11520, return=0.6737969253177307
global_step=11584, return=-5.701435122312791
global_step=11584, return=0.3321423298333557
global_step=11584, return=-1.9225709499029837
global_step=11584, return=1.65360509152977
global_step=11648, return=-0.782721930687567
global_step=11648, return=1.6608714242666316
global_step=11648, return=6.852263912693035
global_step=11648, return=-3.2888862460577863
global_step=11712, return=2.3190318910454932
global_step=11712, return=2.7493388031416552
global_step=11712, return=-1.2338239167432294
global_step=11712, return=-5.040080371748973
global_step=11776, return=6.285842721211365
global_step=11840, return=7.9289461975841595
global_step=11840, return=5.546494950519174
global_step=11840, return=9.45184116500425
global_step=11840, return=12.406768636497915
global_step=11840, return=-1.829367561874558
global_step=11904, return=6.868148391614232
global_step=11904, return=-5.2478811858902645
global_step=11904, return=-2.633216774673868
global_step=11968, return=5.415501327710265
global_step=12032, return=1.8277570974561215
global_step=12032, return=8.793031045405634
global_step=12032, return=3.3935512761053324
global_step=12032, return=-1.1105908740879813
global_step=12096, return=0.4074772794166146
global_step=12096, return=-0.5592807939023925
global_step=12160, return=-9.567850573059022
global_step=12160, return=-0.9049149178614344
global_step=12160, return=-3.824585703533665
global_step=12160, return=1.8121501024944757
global_step=12160, return=1.9244885598454555
global_step=12160, return=6.497969414948355
global_step=12224, return=1.3798029953981084
global_step=12224, return=-0.4866109845101694
global_step=12224, return=22.64698351091983
global_step=12224, return=-8.391224055919919
global_step=12224, return=-2.4557419032091286
global_step=12224, return=-0.6850858121287011
global_step=12224, return=-4.118747221843551
global_step=12288, return=2.774470090143379
global_step=12352, return=-6.3856256992398155
global_step=12416, return=1.9227392331199518
global_step=12416, return=5.072693050112696
global_step=12416, return=-1.706194817218983
global_step=12480, return=-1.4370195455332675
global_step=12480, return=-3.030492372350741
global_step=12480, return=-6.276983742744398
global_step=12544, return=-0.9442218781289218
global_step=12608, return=-7.447940693666633
global_step=12608, return=5.368706338825851
global_step=12672, return=26.31554638554789
global_step=12736, return=1.02653365319172
global_step=12800, return=1.6513031237557312
global_step=12800, return=8.674940553151531
global_step=12800, return=-6.237312473367024
global_step=12800, return=-0.4783249344747227
global_step=12864, return=1.510038312621512
global_step=12864, return=-0.10053915747524345
global_step=12864, return=-2.981820906447231
global_step=12928, return=-4.5442119349589465
global_step=12928, return=-9.285040385934982
global_step=12928, return=-5.2838471565218486
global_step=12928, return=-7.126058037442332
global_step=13056, return=-3.5210339447230368
global_step=13120, return=-6.058843533701934
global_step=13120, return=-5.12419994396075
global_step=13184, return=-3.0605915847680545
global_step=13184, return=-1.056719671886277
global_step=13184, return=-6.569035074814386
global_step=13248, return=0.10069250860508028
global_step=13248, return=6.39886916774093
global_step=13248, return=6.380695347364957
global_step=13248, return=9.529293198260014
global_step=13312, return=2.807055840740717
global_step=13312, return=-10.057639272551336
global_step=13312, return=2.0783958907609668
global_step=13376, return=2.0833485842756008
global_step=13376, return=1.5271533103588224
global_step=13376, return=-1.1001323671677579
global_step=13376, return=-4.0469251921849025
global_step=13440, return=-5.24469887291732
global_step=13440, return=15.968755256927162
global_step=13440, return=7.836642351231861
global_step=13504, return=-0.8604597831154313
global_step=13504, return=4.671640870627819
global_step=13568, return=7.360926467074007
global_step=13568, return=5.9874391994963245
global_step=13568, return=-3.0606602491655783
global_step=13568, return=4.1344876167821365
global_step=13632, return=7.087513701056889
global_step=13696, return=-3.2249177129743236
global_step=13696, return=-3.000141440358096
global_step=13696, return=-1.2287010192718875
global_step=13760, return=9.23979828404828
global_step=13760, return=4.31296135126715
global_step=13824, return=8.528488453833589
global_step=13824, return=12.395718219580125
global_step=13824, return=-20.08816150657349
global_step=13824, return=2.85379817913564
global_step=13888, return=0.7730479779627771
global_step=13888, return=-2.582123615364375
global_step=13888, return=6.89537699334664
